objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"Time's Up! Family","88126","6","0","0","1","0","0","0","0","0","0","0","3","","","","","","146135536","6.08245","7.27568","1.087","2750","3078","thing","Time's Up! Family","4","12","30","30","30","2010","4,5,6,7,8,9,10,11,12","6,8","8+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Time's Up! Kids","174219","6","0","0","1","0","0","0","0","0","0","0","3","","","","","","146135521","5.69952","7.19561","1","6338","852","thing","Time's Up! Kids","2","12","20","20","20","2015","3,4,5,6,8,9,10","4","4–12","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Tobago","42215","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","81934422","6.83021","7.09507","2.1372","721","15272","thing","Tobago","2","4","60","60","60","2009","2,3,4","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Top Ten Adventures","437938","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","146135296","5.69598","7.74327","1","6416","654","thing","Top Ten Adventures","4","9","30","30","30","2025","4,5,6,7","5","","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Tous au poulailler","192598","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","146135885","0","6","0","0","22","thing","Tous au poulailler","2","4","15","15","10","2011","","","","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Trio","352515","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","147018669","7.01609","7.38596","1.0745","490","25384","thing","Trio","3","6","15","15","15","2021","3,4,5,6","4,5","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Unlock!: Timeless Adventures","279613","6","0","0","1","0","0","0","0","0","0","0","3","","","","","","146135420","6.75559","7.7157","2.0667","827","6753","thing","Unlock!: Timeless Adventures","1","6","90","90","60","2019","1,2,3","2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"UNO","2223","4","0","0","1","0","0","0","0","0","0","0","3","","","","","","146135942","5.35366","5.48137","1.0998","30728","74292","thing","UNO","2","10","30","30","30","1971","3,4,5,6,7,8","4,5,6","5+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Wavelength","262543","6","0","0","1","0","0","0","0","0","0","0","3","","","","","","146135436","6.97274","7.19426","1.1062","532","33492","thing","Wavelength","2","12","45","45","30","2019","4,5,6,7,8,9,10,11,12","6,8","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Wingspan","266192","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","146135154","7.84378","7.99693","2.4806","38","182177","thing","Wingspan","1","5","70","70","40","2019","1,2,3,4","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Wingspan: European Expansion","290448","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","147018633","7.92444","8.32598","2.4297","0","62420","thing","Wingspan: European Expansion","1","5","70","70","40","2019","1,2,3,4,5","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Winter Kingdom","303554","4","0","0","1","0","0","0","0","0","0","0","3","","","","","","81937678","6.03968","7.27308","2.6154","2986","2359","thing","Winter Kingdom","2","4","60","60","45","2020","2,3,4","3,4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Yam's Junior","261580","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","146135906","0","6.26923","1","0","36","thing","Yam's Junior","2","4","5","5","5","2013","2,3","3","4–8","","","","","","","standalone","","","","","","","","","","","","","","",""
